1,2,3,4,5,result
20170713,107,120,1,2,1
20170720,107,121,2,1,1
20170727,107,122,3,1,0
20170803,108,122,1,2,0
20170810,109,122,1,3,1
20170817,109,123,2,1,0
20170824,110,123,1,2,0
20170831,111,123,1,3,0
20170907,112,123,1,4,1
20170914,112,124,2,1,0
20170921,113,124,1,2,1
20170928,113,125,2,1,1
20171005,113,126,3,1,1
20171012,113,127,4,1,0
20171019,114,127,1,2,0
20171026,115,127,1,3,1
20171102,115,128,2,1,0
20171109,116,128,1,2,0
20171116,117,128,1,3,1
20171123,117,129,2,1,1
20171130,117,130,3,1,0
20171207,118,130,1,2,1
20171214,118,131,2,1,0
20171221,119,131,1,2,1
20171228,119,132,2,1,1
20180104,119,133,3,1,1
20180111,119,134,4,1,0
20180118,120,134,1,2,0
20180125,121,134,1,3,1
20180201,121,135,2,1,1
20180208,121,136,3,1,0
20180215,122,136,1,2,1
20180222,122,137,2,1,0
20180301,123,137,1,2,0
20180308,124,137,1,3,1
20180315,124,138,2,1,1
20180322,124,139,3,1,1
20180329,124,140,4,1,0
20180405,125,140,1,2,0
20180412,126,140,1,3,1
20180419,126,141,2,1,1
20180426,126,142,3,1,0
20180503,127,142,1,2,1
20180510,127,143,2,1,0
20180517,128,143,1,2,1
20180524,128,144,2,1,1
20180531,128,145,3,1,0
20180607,129,145,1,2,1
20180614,129,146,2,1,1
20180621,129,147,3,1,0
20180628,130,147,1,2,1
20180705,130,148,2,1,0
20180712,131,148,1,2,1
20180719,131,149,2,1,1
20180726,131,150,3,1,1
20180802,131,151,4,1,1
20180809,131,152,5,1,1
20180816,131,153,6,1,1
20180823,131,154,7,1,1
20180830,131,155,8,1,0
20180906,132,155,1,2,0
20180913,133,155,1,3,1
20180920,133,156,2,1,0
20180927,134,156,1,2,1
20181004,134,157,2,1,1
20181011,134,158,3,1,1
20181018,134,159,4,1,1
20181025,134,160,5,1,0
20181101,135,160,1,2,1
20181108,135,161,2,1,0
20181115,136,161,1,2,0
20181122,137,161,1,3,1
20181129,137,162,2,1,0
20181206,138,162,1,2,1
20181213,138,163,2,1,1
20181220,138,164,3,1,1
20181227,138,165,4,1,1
20190103,138,166,5,1,1
20190110,138,167,6,1,0
20190117,139,167,1,2,1
20190124,139,168,2,1,1
20190131,139,169,3,1,0
20190207,140,169,1,2,1
