,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,num1%3,num1/3,num2%3,num2/3,num3%3,num3/3,num4%3,num4/3,num5%3,num5/3,num6%3,num6/3,num7%3,num7/3,sup1%3,sup1/3,sup2%3,sup2/3
49,658,20060926,36,3,33,6,38,44,37,15,41,0,2,0,0,0,2,0,0,2,2,2,2,1,2,0,0,2,2
50,659,20061003,18,43,24,33,34,23,8,32,25,0,1,1,2,0,1,0,2,1,2,2,1,2,0,2,2,1,1
51,660,20061010,25,17,21,38,8,31,2,12,3,1,1,2,1,0,1,2,2,2,0,1,2,2,0,0,0,0,0
52,661,20061017,32,11,45,22,42,33,37,24,41,2,2,2,0,0,2,1,1,0,2,0,2,1,2,0,1,2,2
53,662,20061024,3,31,14,41,32,9,5,16,43,0,0,1,2,2,0,2,2,2,2,0,0,2,0,1,1,1,2
54,663,20061031,33,6,25,3,37,43,21,4,29,0,2,0,0,1,1,0,0,1,2,1,2,0,1,1,0,2,1
55,664,20061107,9,6,30,38,16,7,31,44,34,0,0,0,0,0,1,2,2,1,1,1,0,1,2,2,2,1,2
56,665,20061114,36,18,4,2,43,29,9,20,1,0,2,0,1,1,0,2,0,1,2,2,1,0,0,2,1,1,0
57,666,20061121,11,12,39,24,29,6,36,35,20,2,0,0,0,0,2,0,1,2,1,0,0,0,2,2,2,2,1
58,667,20061128,14,41,7,16,23,8,24,21,26,2,0,2,2,1,0,1,1,2,1,2,0,0,1,0,1,2,1
59,668,20061205,39,6,34,4,13,23,32,22,15,0,2,0,0,1,2,1,0,1,0,2,1,2,2,1,1,0,0
60,669,20061212,18,37,10,27,6,20,33,25,17,0,1,1,2,1,0,0,1,0,0,2,1,0,2,1,1,2,1
61,670,20061219,38,24,10,19,7,12,27,18,26,2,2,0,1,1,0,1,1,1,0,0,0,0,1,0,1,2,1
62,671,20061226,32,35,36,17,27,39,23,44,41,2,2,2,2,0,2,2,1,0,1,0,2,2,1,2,2,2,2
63,672,20070102,35,24,42,45,13,31,26,5,32,2,2,0,1,0,2,0,2,1,0,1,2,2,1,2,0,2,2
