,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,p-1-num1,p-1-num2,p-1-num3,p-1-num4,p-1-num5,p-1-num6,p-1-num7,p-1-sup1,p-1-sup2,p-2-num1,p-2-num2,p-2-num3,p-2-num4,p-2-num5,p-2-num6,p-2-num7,p-2-sup1,p-2-sup2,p-3-num1,p-3-num2,p-3-num3,p-3-num4,p-3-num5,p-3-num6,p-3-num7,p-3-sup1,p-3-sup2,p-4-num1,p-4-num2,p-4-num3,p-4-num4,p-4-num5,p-4-num6,p-4-num7,p-4-sup1,p-4-sup2,p-5-num1,p-5-num2,p-5-num3,p-5-num4,p-5-num5,p-5-num6,p-5-num7,p-5-sup1,p-5-sup2,p-6-num1,p-6-num2,p-6-num3,p-6-num4,p-6-num5,p-6-num6,p-6-num7,p-6-sup1,p-6-sup2,p-7-num1,p-7-num2,p-7-num3,p-7-num4,p-7-num5,p-7-num6,p-7-num7,p-7-sup1,p-7-sup2,p-8-num1,p-8-num2,p-8-num3,p-8-num4,p-8-num5,p-8-num6,p-8-num7,p-8-sup1,p-8-sup2,p-9-num1,p-9-num2,p-9-num3,p-9-num4,p-9-num5,p-9-num6,p-9-num7,p-9-sup1,p-9-sup2,p-10-num1,p-10-num2,p-10-num3,p-10-num4,p-10-num5,p-10-num6,p-10-num7,p-10-sup1,p-10-sup2,p-1,p-2,p-3,p-4,p-5,p-6,p-7,p-8,p-9,p-10,current,random,p-1-9-gong,p-2-9-gong,p-3-9-gong,p-4-9-gong,p-5-9-gong,p-6-9-gong,p-7-9-gong,p-8-9-gong,p-9-9-gong,p-10-9-gong
138,747,20080610,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,25,28,16,26,10,8,14,33,44,11,27,31,30,3,1,4,10,23,27,24,16,25,32,17,13,20,5,40,29,22,17,18,7,8,43,11,11,6,16,2,23,13,40,15,3,33,17,19,27,35,28,34,36,10,33,34,30,14,24,12,6,35,32,5,9,38,30,14,16,13,39,12,3,15,18,40,28,13,14,42,12,"[33, 39, 16, 17, 7, 3, 28]","[25, 28, 16, 26, 10, 8, 14]","[11, 27, 31, 30, 3, 1, 4]","[27, 24, 16, 25, 32, 17, 13]","[40, 29, 22, 17, 18, 7, 8]","[11, 6, 16, 2, 23, 13, 40]","[33, 17, 19, 27, 35, 28, 34]","[33, 34, 30, 14, 24, 12, 6]","[5, 9, 38, 30, 14, 16, 13]","[3, 15, 18, 40, 28, 13, 14]","[40, 7, 15, 34, 35, 29, 14]","[32, 36, 5, 6, 7, 10, 14]","[22, 37, 20, 30, 36, 10, 34]","[6, 28, 20, 3, 6, 25, 40]","[23, 19, 35, 31, 16, 4, 25]","[10, 37, 20, 41, 26, 7, 34]","[36, 37, 44, 30, 1, 22, 4]","[23, 10, 20, 15, 26, 40, 16]","[22, 19, 32, 10, 41, 40, 25]","[22, 37, 31, 9, 31, 37, 37]","[11, 37, 18, 31, 26, 4, 34]","[7, 1, 28, 11, 6, 40, 40]"
139,748,20080617,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,25,28,16,26,10,8,14,33,44,11,27,31,30,3,1,4,10,23,27,24,16,25,32,17,13,20,5,40,29,22,17,18,7,8,43,11,11,6,16,2,23,13,40,15,3,33,17,19,27,35,28,34,36,10,33,34,30,14,24,12,6,35,32,5,9,38,30,14,16,13,39,12,"[40, 7, 15, 34, 35, 29, 14]","[33, 39, 16, 17, 7, 3, 28]","[25, 28, 16, 26, 10, 8, 14]","[11, 27, 31, 30, 3, 1, 4]","[27, 24, 16, 25, 32, 17, 13]","[40, 29, 22, 17, 18, 7, 8]","[11, 6, 16, 2, 23, 13, 40]","[33, 17, 19, 27, 35, 28, 34]","[33, 34, 30, 14, 24, 12, 6]","[5, 9, 38, 30, 14, 16, 13]","[10, 34, 7, 27, 35, 25, 40]","[1, 34, 3, 13, 17, 28, 30]","[36, 19, 16, 14, 41, 43, 40]","[22, 37, 20, 30, 36, 10, 34]","[6, 28, 20, 3, 6, 25, 40]","[23, 19, 35, 31, 16, 4, 25]","[10, 37, 20, 41, 26, 7, 34]","[36, 37, 44, 30, 1, 22, 4]","[23, 10, 20, 15, 26, 40, 16]","[22, 19, 32, 10, 41, 40, 25]","[22, 37, 31, 9, 31, 37, 37]","[11, 37, 18, 31, 26, 4, 34]"
140,749,20080624,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,25,28,16,26,10,8,14,33,44,11,27,31,30,3,1,4,10,23,27,24,16,25,32,17,13,20,5,40,29,22,17,18,7,8,43,11,11,6,16,2,23,13,40,15,3,33,17,19,27,35,28,34,36,10,33,34,30,14,24,12,6,35,32,"[10, 34, 7, 27, 35, 25, 40]","[40, 7, 15, 34, 35, 29, 14]","[33, 39, 16, 17, 7, 3, 28]","[25, 28, 16, 26, 10, 8, 14]","[11, 27, 31, 30, 3, 1, 4]","[27, 24, 16, 25, 32, 17, 13]","[40, 29, 22, 17, 18, 7, 8]","[11, 6, 16, 2, 23, 13, 40]","[33, 17, 19, 27, 35, 28, 34]","[33, 34, 30, 14, 24, 12, 6]","[9, 45, 39, 31, 30, 14, 16]","[33, 34, 36, 6, 40, 12, 23]","[21, 37, 29, 10, 41, 31, 16]","[36, 19, 16, 14, 41, 43, 40]","[22, 37, 20, 30, 36, 10, 34]","[6, 28, 20, 3, 6, 25, 40]","[23, 19, 35, 31, 16, 4, 25]","[10, 37, 20, 41, 26, 7, 34]","[36, 37, 44, 30, 1, 22, 4]","[23, 10, 20, 15, 26, 40, 16]","[22, 19, 32, 10, 41, 40, 25]","[22, 37, 31, 9, 31, 37, 37]"
141,750,20080701,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,25,28,16,26,10,8,14,33,44,11,27,31,30,3,1,4,10,23,27,24,16,25,32,17,13,20,5,40,29,22,17,18,7,8,43,11,11,6,16,2,23,13,40,15,3,33,17,19,27,35,28,34,36,10,"[9, 45, 39, 31, 30, 14, 16]","[10, 34, 7, 27, 35, 25, 40]","[40, 7, 15, 34, 35, 29, 14]","[33, 39, 16, 17, 7, 3, 28]","[25, 28, 16, 26, 10, 8, 14]","[11, 27, 31, 30, 3, 1, 4]","[27, 24, 16, 25, 32, 17, 13]","[40, 29, 22, 17, 18, 7, 8]","[11, 6, 16, 2, 23, 13, 40]","[33, 17, 19, 27, 35, 28, 34]","[38, 24, 43, 35, 14, 20, 28]","[3, 35, 39, 8, 14, 18, 26]","[19, 1, 22, 38, 16, 43, 7]","[21, 37, 29, 10, 41, 31, 16]","[36, 19, 16, 14, 41, 43, 40]","[22, 37, 20, 30, 36, 10, 34]","[6, 28, 20, 3, 6, 25, 40]","[23, 19, 35, 31, 16, 4, 25]","[10, 37, 20, 41, 26, 7, 34]","[36, 37, 44, 30, 1, 22, 4]","[23, 10, 20, 15, 26, 40, 16]","[22, 19, 32, 10, 41, 40, 25]"
142,751,20080708,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,25,28,16,26,10,8,14,33,44,11,27,31,30,3,1,4,10,23,27,24,16,25,32,17,13,20,5,40,29,22,17,18,7,8,43,11,11,6,16,2,23,13,40,15,3,"[38, 24, 43, 35, 14, 20, 28]","[9, 45, 39, 31, 30, 14, 16]","[10, 34, 7, 27, 35, 25, 40]","[40, 7, 15, 34, 35, 29, 14]","[33, 39, 16, 17, 7, 3, 28]","[25, 28, 16, 26, 10, 8, 14]","[11, 27, 31, 30, 3, 1, 4]","[27, 24, 16, 25, 32, 17, 13]","[40, 29, 22, 17, 18, 7, 8]","[11, 6, 16, 2, 23, 13, 40]","[35, 4, 22, 18, 31, 30, 10]","[2, 35, 34, 38, 45, 13, 14]","[32, 37, 38, 21, 26, 16, 34]","[19, 1, 22, 38, 16, 43, 7]","[21, 37, 29, 10, 41, 31, 16]","[36, 19, 16, 14, 41, 43, 40]","[22, 37, 20, 30, 36, 10, 34]","[6, 28, 20, 3, 6, 25, 40]","[23, 19, 35, 31, 16, 4, 25]","[10, 37, 20, 41, 26, 7, 34]","[36, 37, 44, 30, 1, 22, 4]","[23, 10, 20, 15, 26, 40, 16]"
143,752,20080715,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,25,28,16,26,10,8,14,33,44,11,27,31,30,3,1,4,10,23,27,24,16,25,32,17,13,20,5,40,29,22,17,18,7,8,43,11,"[35, 4, 22, 18, 31, 30, 10]","[38, 24, 43, 35, 14, 20, 28]","[9, 45, 39, 31, 30, 14, 16]","[10, 34, 7, 27, 35, 25, 40]","[40, 7, 15, 34, 35, 29, 14]","[33, 39, 16, 17, 7, 3, 28]","[25, 28, 16, 26, 10, 8, 14]","[11, 27, 31, 30, 3, 1, 4]","[27, 24, 16, 25, 32, 17, 13]","[40, 29, 22, 17, 18, 7, 8]","[28, 5, 4, 1, 12, 44, 15]","[1, 3, 13, 19, 21, 26, 27]","[26, 37, 44, 37, 21, 1, 16]","[32, 37, 38, 21, 26, 16, 34]","[19, 1, 22, 38, 16, 43, 7]","[21, 37, 29, 10, 41, 31, 16]","[36, 19, 16, 14, 41, 43, 40]","[22, 37, 20, 30, 36, 10, 34]","[6, 28, 20, 3, 6, 25, 40]","[23, 19, 35, 31, 16, 4, 25]","[10, 37, 20, 41, 26, 7, 34]","[36, 37, 44, 30, 1, 22, 4]"
144,753,20080722,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,25,28,16,26,10,8,14,33,44,11,27,31,30,3,1,4,10,23,27,24,16,25,32,17,13,20,5,"[28, 5, 4, 1, 12, 44, 15]","[35, 4, 22, 18, 31, 30, 10]","[38, 24, 43, 35, 14, 20, 28]","[9, 45, 39, 31, 30, 14, 16]","[10, 34, 7, 27, 35, 25, 40]","[40, 7, 15, 34, 35, 29, 14]","[33, 39, 16, 17, 7, 3, 28]","[25, 28, 16, 26, 10, 8, 14]","[11, 27, 31, 30, 3, 1, 4]","[27, 24, 16, 25, 32, 17, 13]","[40, 33, 5, 44, 16, 17, 3]","[3, 15, 18, 26, 28, 30, 31]","[12, 1, 17, 8, 16, 43, 1]","[26, 37, 44, 37, 21, 1, 16]","[32, 37, 38, 21, 26, 16, 34]","[19, 1, 22, 38, 16, 43, 7]","[21, 37, 29, 10, 41, 31, 16]","[36, 19, 16, 14, 41, 43, 40]","[22, 37, 20, 30, 36, 10, 34]","[6, 28, 20, 3, 6, 25, 40]","[23, 19, 35, 31, 16, 4, 25]","[10, 37, 20, 41, 26, 7, 34]"
145,754,20080729,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,25,28,16,26,10,8,14,33,44,11,27,31,30,3,1,4,10,23,"[40, 33, 5, 44, 16, 17, 3]","[28, 5, 4, 1, 12, 44, 15]","[35, 4, 22, 18, 31, 30, 10]","[38, 24, 43, 35, 14, 20, 28]","[9, 45, 39, 31, 30, 14, 16]","[10, 34, 7, 27, 35, 25, 40]","[40, 7, 15, 34, 35, 29, 14]","[33, 39, 16, 17, 7, 3, 28]","[25, 28, 16, 26, 10, 8, 14]","[11, 27, 31, 30, 3, 1, 4]","[37, 20, 18, 8, 35, 11, 31]","[4, 7, 40, 10, 43, 44, 13]","[36, 28, 21, 39, 36, 7, 19]","[12, 1, 17, 8, 16, 43, 1]","[26, 37, 44, 37, 21, 1, 16]","[32, 37, 38, 21, 26, 16, 34]","[19, 1, 22, 38, 16, 43, 7]","[21, 37, 29, 10, 41, 31, 16]","[36, 19, 16, 14, 41, 43, 40]","[22, 37, 20, 30, 36, 10, 34]","[6, 28, 20, 3, 6, 25, 40]","[23, 19, 35, 31, 16, 4, 25]"
146,755,20080805,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,25,28,16,26,10,8,14,33,44,"[37, 20, 18, 8, 35, 11, 31]","[40, 33, 5, 44, 16, 17, 3]","[28, 5, 4, 1, 12, 44, 15]","[35, 4, 22, 18, 31, 30, 10]","[38, 24, 43, 35, 14, 20, 28]","[9, 45, 39, 31, 30, 14, 16]","[10, 34, 7, 27, 35, 25, 40]","[40, 7, 15, 34, 35, 29, 14]","[33, 39, 16, 17, 7, 3, 28]","[25, 28, 16, 26, 10, 8, 14]","[11, 44, 29, 34, 17, 33, 45]","[34, 9, 10, 42, 16, 21, 26]","[30, 1, 28, 12, 41, 34, 7]","[36, 28, 21, 39, 36, 7, 19]","[12, 1, 17, 8, 16, 43, 1]","[26, 37, 44, 37, 21, 1, 16]","[32, 37, 38, 21, 26, 16, 34]","[19, 1, 22, 38, 16, 43, 7]","[21, 37, 29, 10, 41, 31, 16]","[36, 19, 16, 14, 41, 43, 40]","[22, 37, 20, 30, 36, 10, 34]","[6, 28, 20, 3, 6, 25, 40]"
147,756,20080812,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,33,39,16,17,7,3,28,43,10,"[11, 44, 29, 34, 17, 33, 45]","[37, 20, 18, 8, 35, 11, 31]","[40, 33, 5, 44, 16, 17, 3]","[28, 5, 4, 1, 12, 44, 15]","[35, 4, 22, 18, 31, 30, 10]","[38, 24, 43, 35, 14, 20, 28]","[9, 45, 39, 31, 30, 14, 16]","[10, 34, 7, 27, 35, 25, 40]","[40, 7, 15, 34, 35, 29, 14]","[33, 39, 16, 17, 7, 3, 28]","[27, 42, 25, 7, 45, 30, 19]","[3, 37, 39, 14, 20, 23, 24]","[23, 37, 27, 14, 41, 10, 1]","[30, 1, 28, 12, 41, 34, 7]","[36, 28, 21, 39, 36, 7, 19]","[12, 1, 17, 8, 16, 43, 1]","[26, 37, 44, 37, 21, 1, 16]","[32, 37, 38, 21, 26, 16, 34]","[19, 1, 22, 38, 16, 43, 7]","[21, 37, 29, 10, 41, 31, 16]","[36, 19, 16, 14, 41, 43, 40]","[22, 37, 20, 30, 36, 10, 34]"
148,757,20080819,17,9,42,5,10,43,25,11,4,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,40,7,15,34,35,29,14,3,38,"[27, 42, 25, 7, 45, 30, 19]","[11, 44, 29, 34, 17, 33, 45]","[37, 20, 18, 8, 35, 11, 31]","[40, 33, 5, 44, 16, 17, 3]","[28, 5, 4, 1, 12, 44, 15]","[35, 4, 22, 18, 31, 30, 10]","[38, 24, 43, 35, 14, 20, 28]","[9, 45, 39, 31, 30, 14, 16]","[10, 34, 7, 27, 35, 25, 40]","[40, 7, 15, 34, 35, 29, 14]","[17, 9, 42, 5, 10, 43, 25]","[1, 36, 9, 44, 14, 17, 21]","[10, 19, 11, 5, 1, 1, 25]","[23, 37, 27, 14, 41, 10, 1]","[30, 1, 28, 12, 41, 34, 7]","[36, 28, 21, 39, 36, 7, 19]","[12, 1, 17, 8, 16, 43, 1]","[26, 37, 44, 37, 21, 1, 16]","[32, 37, 38, 21, 26, 16, 34]","[19, 1, 22, 38, 16, 43, 7]","[21, 37, 29, 10, 41, 31, 16]","[36, 19, 16, 14, 41, 43, 40]"
149,758,20080826,23,27,43,25,37,45,13,44,18,17,9,42,5,10,43,25,11,4,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,10,34,7,27,35,25,40,42,8,"[17, 9, 42, 5, 10, 43, 25]","[27, 42, 25, 7, 45, 30, 19]","[11, 44, 29, 34, 17, 33, 45]","[37, 20, 18, 8, 35, 11, 31]","[40, 33, 5, 44, 16, 17, 3]","[28, 5, 4, 1, 12, 44, 15]","[35, 4, 22, 18, 31, 30, 10]","[38, 24, 43, 35, 14, 20, 28]","[9, 45, 39, 31, 30, 14, 16]","[10, 34, 7, 27, 35, 25, 40]","[23, 27, 43, 25, 37, 45, 13]","[2, 8, 40, 12, 13, 45, 21]","[35, 37, 34, 36, 6, 40, 16]","[10, 19, 11, 5, 1, 1, 25]","[23, 37, 27, 14, 41, 10, 1]","[30, 1, 28, 12, 41, 34, 7]","[36, 28, 21, 39, 36, 7, 19]","[12, 1, 17, 8, 16, 43, 1]","[26, 37, 44, 37, 21, 1, 16]","[32, 37, 38, 21, 26, 16, 34]","[19, 1, 22, 38, 16, 43, 7]","[21, 37, 29, 10, 41, 31, 16]"
150,759,20080902,15,39,28,25,17,10,31,19,30,23,27,43,25,37,45,13,44,18,17,9,42,5,10,43,25,11,4,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,9,45,39,31,30,14,16,41,22,"[23, 27, 43, 25, 37, 45, 13]","[17, 9, 42, 5, 10, 43, 25]","[27, 42, 25, 7, 45, 30, 19]","[11, 44, 29, 34, 17, 33, 45]","[37, 20, 18, 8, 35, 11, 31]","[40, 33, 5, 44, 16, 17, 3]","[28, 5, 4, 1, 12, 44, 15]","[35, 4, 22, 18, 31, 30, 10]","[38, 24, 43, 35, 14, 20, 28]","[9, 45, 39, 31, 30, 14, 16]","[15, 39, 28, 25, 17, 10, 31]","[40, 10, 11, 14, 20, 21, 29]","[2, 19, 38, 41, 6, 1, 34]","[35, 37, 34, 36, 6, 40, 16]","[10, 19, 11, 5, 1, 1, 25]","[23, 37, 27, 14, 41, 10, 1]","[30, 1, 28, 12, 41, 34, 7]","[36, 28, 21, 39, 36, 7, 19]","[12, 1, 17, 8, 16, 43, 1]","[26, 37, 44, 37, 21, 1, 16]","[32, 37, 38, 21, 26, 16, 34]","[19, 1, 22, 38, 16, 43, 7]"
151,760,20080909,28,41,36,31,15,39,42,8,9,15,39,28,25,17,10,31,19,30,23,27,43,25,37,45,13,44,18,17,9,42,5,10,43,25,11,4,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,38,24,43,35,14,20,28,21,8,"[15, 39, 28, 25, 17, 10, 31]","[23, 27, 43, 25, 37, 45, 13]","[17, 9, 42, 5, 10, 43, 25]","[27, 42, 25, 7, 45, 30, 19]","[11, 44, 29, 34, 17, 33, 45]","[37, 20, 18, 8, 35, 11, 31]","[40, 33, 5, 44, 16, 17, 3]","[28, 5, 4, 1, 12, 44, 15]","[35, 4, 22, 18, 31, 30, 10]","[38, 24, 43, 35, 14, 20, 28]","[28, 41, 36, 31, 15, 39, 42]","[34, 6, 40, 9, 13, 16, 19]","[31, 37, 23, 41, 41, 31, 7]","[2, 19, 38, 41, 6, 1, 34]","[35, 37, 34, 36, 6, 40, 16]","[10, 19, 11, 5, 1, 1, 25]","[23, 37, 27, 14, 41, 10, 1]","[30, 1, 28, 12, 41, 34, 7]","[36, 28, 21, 39, 36, 7, 19]","[12, 1, 17, 8, 16, 43, 1]","[26, 37, 44, 37, 21, 1, 16]","[32, 37, 38, 21, 26, 16, 34]"
152,761,20080916,3,1,24,22,26,44,19,45,41,28,41,36,31,15,39,42,8,9,15,39,28,25,17,10,31,19,30,23,27,43,25,37,45,13,44,18,17,9,42,5,10,43,25,11,4,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,35,4,22,18,31,30,10,3,45,"[28, 41, 36, 31, 15, 39, 42]","[15, 39, 28, 25, 17, 10, 31]","[23, 27, 43, 25, 37, 45, 13]","[17, 9, 42, 5, 10, 43, 25]","[27, 42, 25, 7, 45, 30, 19]","[11, 44, 29, 34, 17, 33, 45]","[37, 20, 18, 8, 35, 11, 31]","[40, 33, 5, 44, 16, 17, 3]","[28, 5, 4, 1, 12, 44, 15]","[35, 4, 22, 18, 31, 30, 10]","[3, 1, 24, 22, 26, 44, 19]","[1, 3, 18, 19, 22, 24, 26]","[12, 10, 10, 38, 31, 28, 28]","[31, 37, 23, 41, 41, 31, 7]","[2, 19, 38, 41, 6, 1, 34]","[35, 37, 34, 36, 6, 40, 16]","[10, 19, 11, 5, 1, 1, 25]","[23, 37, 27, 14, 41, 10, 1]","[30, 1, 28, 12, 41, 34, 7]","[36, 28, 21, 39, 36, 7, 19]","[12, 1, 17, 8, 16, 43, 1]","[26, 37, 44, 37, 21, 1, 16]"
153,762,20080923,1,37,43,45,34,19,9,25,28,3,1,24,22,26,44,19,45,41,28,41,36,31,15,39,42,8,9,15,39,28,25,17,10,31,19,30,23,27,43,25,37,45,13,44,18,17,9,42,5,10,43,25,11,4,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,28,5,4,1,12,44,15,2,38,"[3, 1, 24, 22, 26, 44, 19]","[28, 41, 36, 31, 15, 39, 42]","[15, 39, 28, 25, 17, 10, 31]","[23, 27, 43, 25, 37, 45, 13]","[17, 9, 42, 5, 10, 43, 25]","[27, 42, 25, 7, 45, 30, 19]","[11, 44, 29, 34, 17, 33, 45]","[37, 20, 18, 8, 35, 11, 31]","[40, 33, 5, 44, 16, 17, 3]","[28, 5, 4, 1, 12, 44, 15]","[1, 37, 43, 45, 34, 19, 9]","[32, 1, 33, 36, 5, 9, 45]","[7, 10, 7, 20, 41, 43, 25]","[12, 10, 10, 38, 31, 28, 28]","[31, 37, 23, 41, 41, 31, 7]","[2, 19, 38, 41, 6, 1, 34]","[35, 37, 34, 36, 6, 40, 16]","[10, 19, 11, 5, 1, 1, 25]","[23, 37, 27, 14, 41, 10, 1]","[30, 1, 28, 12, 41, 34, 7]","[36, 28, 21, 39, 36, 7, 19]","[12, 1, 17, 8, 16, 43, 1]"
154,763,20080930,42,36,12,1,6,29,15,26,10,1,37,43,45,34,19,9,25,28,3,1,24,22,26,44,19,45,41,28,41,36,31,15,39,42,8,9,15,39,28,25,17,10,31,19,30,23,27,43,25,37,45,13,44,18,17,9,42,5,10,43,25,11,4,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,40,33,5,44,16,17,3,31,7,"[1, 37, 43, 45, 34, 19, 9]","[3, 1, 24, 22, 26, 44, 19]","[28, 41, 36, 31, 15, 39, 42]","[15, 39, 28, 25, 17, 10, 31]","[23, 27, 43, 25, 37, 45, 13]","[17, 9, 42, 5, 10, 43, 25]","[27, 42, 25, 7, 45, 30, 19]","[11, 44, 29, 34, 17, 33, 45]","[37, 20, 18, 8, 35, 11, 31]","[40, 33, 5, 44, 16, 17, 3]","[42, 36, 12, 1, 6, 29, 15]","[8, 42, 11, 45, 14, 18, 29]","[3, 19, 38, 1, 36, 13, 10]","[7, 10, 7, 20, 41, 43, 25]","[12, 10, 10, 38, 31, 28, 28]","[31, 37, 23, 41, 41, 31, 7]","[2, 19, 38, 41, 6, 1, 34]","[35, 37, 34, 36, 6, 40, 16]","[10, 19, 11, 5, 1, 1, 25]","[23, 37, 27, 14, 41, 10, 1]","[30, 1, 28, 12, 41, 34, 7]","[36, 28, 21, 39, 36, 7, 19]"
155,764,20081007,8,10,15,17,39,40,14,11,22,42,36,12,1,6,29,15,26,10,1,37,43,45,34,19,9,25,28,3,1,24,22,26,44,19,45,41,28,41,36,31,15,39,42,8,9,15,39,28,25,17,10,31,19,30,23,27,43,25,37,45,13,44,18,17,9,42,5,10,43,25,11,4,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,37,20,18,8,35,11,31,21,42,"[42, 36, 12, 1, 6, 29, 15]","[1, 37, 43, 45, 34, 19, 9]","[3, 1, 24, 22, 26, 44, 19]","[28, 41, 36, 31, 15, 39, 42]","[15, 39, 28, 25, 17, 10, 31]","[23, 27, 43, 25, 37, 45, 13]","[17, 9, 42, 5, 10, 43, 25]","[27, 42, 25, 7, 45, 30, 19]","[11, 44, 29, 34, 17, 33, 45]","[37, 20, 18, 8, 35, 11, 31]","[8, 10, 15, 17, 39, 40, 14]","[2, 4, 8, 43, 44, 18, 25]","[40, 10, 4, 8, 31, 43, 1]","[3, 19, 38, 1, 36, 13, 10]","[7, 10, 7, 20, 41, 43, 25]","[12, 10, 10, 38, 31, 28, 28]","[31, 37, 23, 41, 41, 31, 7]","[2, 19, 38, 41, 6, 1, 34]","[35, 37, 34, 36, 6, 40, 16]","[10, 19, 11, 5, 1, 1, 25]","[23, 37, 27, 14, 41, 10, 1]","[30, 1, 28, 12, 41, 34, 7]"
156,765,20081014,17,2,6,26,11,22,45,24,20,8,10,15,17,39,40,14,11,22,42,36,12,1,6,29,15,26,10,1,37,43,45,34,19,9,25,28,3,1,24,22,26,44,19,45,41,28,41,36,31,15,39,42,8,9,15,39,28,25,17,10,31,19,30,23,27,43,25,37,45,13,44,18,17,9,42,5,10,43,25,11,4,27,42,25,7,45,30,19,13,24,11,44,29,34,17,33,45,40,7,"[8, 10, 15, 17, 39, 40, 14]","[42, 36, 12, 1, 6, 29, 15]","[1, 37, 43, 45, 34, 19, 9]","[3, 1, 24, 22, 26, 44, 19]","[28, 41, 36, 31, 15, 39, 42]","[15, 39, 28, 25, 17, 10, 31]","[23, 27, 43, 25, 37, 45, 13]","[17, 9, 42, 5, 10, 43, 25]","[27, 42, 25, 7, 45, 30, 19]","[11, 44, 29, 34, 17, 33, 45]","[17, 2, 6, 26, 11, 22, 45]","[33, 9, 43, 19, 23, 25, 26]","[17, 1, 16, 30, 16, 31, 40]","[40, 10, 4, 8, 31, 43, 1]","[3, 19, 38, 1, 36, 13, 10]","[7, 10, 7, 20, 41, 43, 25]","[12, 10, 10, 38, 31, 28, 28]","[31, 37, 23, 41, 41, 31, 7]","[2, 19, 38, 41, 6, 1, 34]","[35, 37, 34, 36, 6, 40, 16]","[10, 19, 11, 5, 1, 1, 25]","[23, 37, 27, 14, 41, 10, 1]"
