draw,date, 1,2,3,4,5,6,7,p
1020,20151203,11,7,2,21,19,25,x,16
1021,20151210,28,14,10,18,35,17,x,9
1022,20151217,40,32,7,9,2,23,x,9
1023,20151224,38,15,32,26,1,8,x,19
1024,20151231,34,17,20,26,37,33,x,17
1025,20160107,18,23,34,14,4,20,x,18
1026,20160114,23,34,12,19,37,36,x,20
1027,20160121,23,22,19,20,26,36,x,14
1028,20160128,29,17,33,31,2,9,x,9
1029,20160204,20,6,18,17,36,10,x,2
1030,20160211,1,8,21,30,22,33,x,5
1031,20160218,20,16,12,29,9,18,x,17
1032,20160225,14,38,13,32,15,9,x,2
1033,20160303,20,25,27,19,9,32,x,5
1034,20160310,31,33,6,4,22,20,x,18
1035,20160317,36,34,7,15,6,29,x,19
1036,20160324,16,17,32,2,7,25,x,14
1037,20160331,32,20,19,23,34,31,x,11
1038,20160407,15,35,5,20,34,3,x,13
1039,20160414,4,20,32,40,5,7,x,14
1040,20160421,18,33,8,12,19,26,x,6
1041,20160428,24,20,9,31,2,8,x,1
1042,20160505,1,20,38,11,2,25,x,5
1043,20160512,8,10,26,19,18,36,x,5
1044,20160519,7,11,26,29,22,24,x,20
1045,20160526,15,35,8,5,29,31,x,9
1046,20160602,10,25,39,31,19,2,x,6
1047,20160609,31,24,5,38,7,13,x,8
1048,20160616,11,17,37,3,24,29,x,3
1049,20160623,36,17,35,40,8,10,x,13
1050,20160630,14,31,1,13,4,33,x,12
1051,20160707,4,22,23,32,14,9,x,19
1052,20160714,13,31,26,6,8,30,x,1
1053,20160721,12,36,9,30,22,14,x,3
1054,20160728,1,21,24,36,5,32,x,20
1055,20160804,16,3,38,8,17,24,x,5
1056,20160811,4,35,17,24,7,12,x,4
1057,20160818,37,40,33,18,9,3,x,8
1058,20160825,12,39,22,32,25,24,x,11
1059,20160901,11,22,14,3,18,13,x,9
1060,20160908,31,25,9,28,17,10,x,2
1061,20160915,13,12,27,29,2,32,x,12
1062,20160922,16,33,28,20,23,14,x,11
1063,20160929,4,8,18,39,28,36,x,18
1064,20161006,37,33,12,32,9,21,x,18
1065,20161013,8,2,13,36,31,6,x,15
1066,20161020,12,25,22,5,34,8,x,17
1067,20161027,38,21,17,36,16,2,x,7
1068,20161103,8,40,26,35,23,22,x,6
1069,20161110,26,23,7,19,37,30,x,5
1070,20161117,34,4,16,10,40,24,x,11
1071,20161124,12,25,18,5,40,13,x,5
1072,20161201,38,34,37,9,12,23,x,7
1073,20161208,38,13,3,5,20,37,x,14
1074,20161215,36,13,30,37,8,22,x,11
1075,20161222,10,4,29,16,39,26,x,18
1076,20161229,4,24,6,31,3,25,x,13
1077,20170105,36,8,23,39,31,6,x,15
1078,20170112,36,11,29,4,14,26,x,17
1079,20170119,32,22,31,33,10,35,x,19
1080,20170126,36,38,23,8,40,6,x,2
1081,20170202,40,35,31,20,28,23,x,3
1082,20170209,11,23,16,33,31,21,x,2
1083,20170216,24,25,29,22,15,26,x,16
1084,20170223,20,29,1,16,15,26,x,12
1085,20170302,25,36,30,9,34,40,x,11
1086,20170309,19,26,9,29,27,6,x,15
1087,20170316,30,13,22,27,40,34,x,17
1088,20170323,7,40,31,34,5,17,x,18
1089,20170330,30,1,5,7,19,28,x,6
1090,20170406,31,6,7,32,34,17,x,5
1091,20170413,5,34,26,1,23,33,x,10
1092,20170420,27,7,30,19,13,22,x,8
1093,20170427,20,36,19,38,30,24,x,3
1094,20170504,25,5,17,15,10,4,x,2
1095,20170511,26,36,10,23,19,21,x,10
1096,20170518,35,27,17,10,39,6,x,12
1097,20170525,32,24,27,4,35,39,x,13
1098,20170601,18,19,24,37,29,32,x,12
1099,20170608,10,7,17,6,20,25,x,15
1100,20170615,28,38,23,31,24,6,x,12
1101,20170622,35,12,17,36,25,40,x,17
1102,20170629,19,5,2,9,12,3,x,9
1103,20170706,38,13,11,19,22,10,x,20
1104,20170713,28,24,30,12,9,1,x,9
1105,20170720,23,14,22,25,15,5,x,9
1106,20170727,36,23,27,15,31,4,x,16
1107,20170803,30,38,6,9,22,19,x,10
1108,20170810,6,17,1,20,8,16,x,1
1109,20170817,32,26,38,12,4,5,x,6
1110,20170824,9,13,6,35,3,30,x,20
1111,20170831,14,22,38,36,34,25,x,10
1112,20170907,35,28,3,14,11,24,x,3
1113,20170914,25,15,26,30,31,37,x,18
1114,20170921,26,17,2,10,25,23,x,5
1115,20170928,1,6,25,13,32,14,x,7
1116,20171005,6,38,33,7,17,19,x,17
1117,20171012,1,32,11,15,30,28,x,20
1118,20171019,11,34,17,31,8,9,x,16
1119,20171026,39,15,34,29,4,23,x,5
1120,20171102,3,4,30,33,32,23,x,4
1121,20171109,15,27,38,18,29,20,x,20
1122,20171116,33,18,11,3,36,6,x,5
1123,20171123,39,17,36,35,27,33,x,7
1124,20171130,22,26,31,35,21,38,x,10
1125,20171207,39,8,34,26,11,23,x,13
1126,20171214,31,19,28,40,22,30,x,6
1127,20171221,33,27,7,10,15,32,x,9
1128,20171228,29,37,34,12,28,35,x,7
1129,20180104,19,20,15,8,23,24,x,5
1130,20180111,32,7,5,34,38,11,x,12
1131,20180118,19,35,36,13,3,8,x,6
1132,20180125,23,24,40,10,13,1,x,13
1133,20180201,35,24,27,38,26,20,x,3
1134,20180208,33,7,12,38,23,10,x,16
1135,20180215,5,37,25,6,36,12,x,7
1136,20180222,19,16,14,38,11,15,x,8
1137,20180301,17,39,8,24,30,16,x,8
1138,20180308,12,29,4,22,37,26,x,11
1139,20180315,34,18,6,1,21,9,x,15
1140,20180322,10,17,35,40,22,30,x,7
1141,20180329,7,10,4,16,14,8,x,10
1142,20180405,5,25,22,8,18,23,x,10
1143,20180412,16,32,33,14,31,18,x,17
1144,20180419,9,5,32,13,33,4,25,7
1145,20180426,14,35,34,15,24,19,9,12
1146,20180503,19,20,6,1,24,3,16,13
1147,20180510,6,24,15,14,26,32,35,14
1148,20180517,9,26,16,34,3,31,25,9
1149,20180524,12,14,2,18,23,19,25,17
1150,20180531,29,18,9,27,30,8,32,6
1151,20180607,34,30,14,32,22,24,23,9
1152,20180614,29,6,16,2,7,31,14,15
1153,20180621,2,24,5,31,13,9,35,16
1154,20180628,17,25,7,4,2,28,34,3
1155,20180705,7,29,33,23,34,20,32,16
1156,20180712,32,23,31,4,16,25,18,5
1157,20180719,22,23,29,4,24,2,25,17
1158,20180726,32,31,1,22,28,7,8,15
1159,20180802,32,34,1,9,17,22,3,19
1160,20180809,5,18,10,13,34,12,4,19
1161,20180816,33,3,32,13,27,35,31,3
1162,20180823,6,14,18,28,29,9,2,11
1163,20180830,20,32,15,19,22,13,28,20
1164,20180906,7,14,23,25,18,21,27,20
1165,20180913,2,22,34,1,35,19,17,11
1166,20180920,20,6,30,17,8,10,2,8
1167,20180927,22,5,10,30,19,21,15,3
1168,20181004,24,32,3,11,21,28,22,7
1169,20181011,21,13,23,20,27,32,30,13
1170,20181018,17,35,25,10,33,7,29,5
1171,20181025,28,29,26,13,25,9,11,12
1172,20181101,30,11,24,35,17,4,8,3
1173,20181108,29,35,12,30,17,23,15,10
1174,20181115,18,16,23,2,25,7,29,20
1175,20181122,14,29,34,33,17,3,28,17
1176,20181129,29,20,22,5,3,17,33,12
1177,20181206,14,6,26,3,20,5,33,19
1178,20181213,24,8,26,28,35,7,15,13
1179,20181220,19,5,24,13,9,32,20,15
1180,20181227,9,17,5,7,18,8,29,19
1181,20190103,8,11,19,12,7,25,33,13
1182,20190110,3,10,7,28,34,24,31,14
1183,20190117,20,18,33,22,11,26,4,9
1184,20190124,17,29,35,23,19,8,2,3
1185,20190131,34,31,29,10,19,28,22,10
1186,20190207,17,32,20,11,22,24,6,19
