draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2
1175,20160823,21,5,32,15,45,36,1,31,9
1176,20160830,16,33,27,9,12,43,22,15,31
1177,20160906,27,29,37,44,39,8,16,43,38
1178,20160913,42,19,30,29,1,3,44,28,23
1179,20160920,39,4,31,33,34,12,27,20,36
1180,20160927,45,13,32,36,3,26,21,31,14
1181,20161004,10,14,4,3,28,41,12,32,5
1182,20161011,25,3,8,38,18,21,27,23,35
1183,20161018,43,37,23,6,9,3,13,38,32
1184,20161025,20,8,37,33,5,34,36,40,17
1185,20161101,17,22,43,6,27,41,9,8,36
1186,20161108,42,5,7,36,22,2,13,23,18
1187,20161115,7,26,27,11,18,15,16,30,21
1188,20161122,32,31,11,30,17,45,43,10,7
1189,20161129,31,32,12,35,28,22,42,39,1
1190,20161206,35,30,17,43,34,45,15,14,23
1191,20161213,44,31,37,17,20,34,39,29,24
1192,20161220,26,16,14,36,25,29,45,3,7
1193,20161227,27,7,35,34,25,33,28,38,41
1194,20170103,1,27,17,12,24,15,23,41,29
1195,20170110,34,2,43,18,12,17,41,16,22
1196,20170117,39,31,7,37,2,22,21,40,1
1197,20170124,17,24,43,31,20,34,27,29,6
1198,20170131,24,3,8,38,18,20,30,44,21
1199,20170207,20,32,4,8,29,37,40,7,17
1200,20170214,7,39,45,38,1,30,9,28,14
1201,20170221,19,28,31,5,45,41,9,1,37
1202,20170228,2,37,26,17,42,33,27,44,4
1203,20170307,21,18,17,6,37,33,4,1,8
1204,20170314,10,14,25,6,31,2,28,33,8
1205,20170321,27,25,44,33,6,15,31,26,19
1206,20170328,12,39,45,41,37,22,23,20,18
1207,20170404,6,8,36,45,33,23,1,43,27
1208,20170411,25,23,38,45,21,28,1,2,33
1209,20170418,42,13,33,44,39,29,27,15,31
1210,20170425,11,41,28,43,45,37,27,4,31
1211,20170502,28,22,9,19,38,17,2,41,33
1212,20170509,1,15,45,16,3,20,33,39,12
1213,20170516,9,21,43,14,22,41,27,4,8
1214,20170523,4,2,12,22,20,17,38,35,16
1215,20170530,1,35,31,19,4,13,26,25,37
1216,20170606,10,23,11,30,19,34,15,2,26
1217,20170613,14,9,2,13,43,10,4,45,12
1218,20170620,16,25,28,13,23,17,21,34,2
1219,20170627,6,3,8,26,41,40,22,27,32
1220,20170704,28,33,37,43,18,35,7,19,21
1221,20170711,30,40,37,39,36,4,22,35,14
1222,20170718,2,45,29,7,23,19,21,37,43
1223,20170725,1,15,4,6,22,29,39,14,7
1224,20170801,9,16,41,13,37,43,3,11,26
1225,20170808,15,21,45,25,6,43,40,19,26
1226,20170815,17,43,8,33,25,13,4,15,23
1227,20170822,14,43,41,16,7,12,40,37,38
1228,20170829,24,8,44,23,22,21,36,4,37
1229,20170905,16,45,4,35,8,28,27,22,34
1230,20170912,1,44,20,41,24,12,45,6,38
1231,20170919,15,6,37,29,42,14,31,30,45
1232,20170926,41,45,8,14,6,13,33,15,42
1233,20171003,43,36,7,30,14,9,26,41,38
1234,20171010,17,42,20,7,31,28,12,1,25
1235,20171017,41,40,38,39,7,23,32,35,19
1236,20171024,31,15,22,9,35,40,44,32,36
1237,20171031,6,23,21,30,42,44,32,29,9
1238,20171107,45,4,37,12,30,26,13,10,17
1239,20171114,15,3,16,5,25,30,1,40,12
1240,20171121,14,15,45,33,26,16,23,24,5
1241,20171128,16,3,9,7,28,35,19,10,1
1242,20171205,45,4,22,34,26,9,28,43,15
1243,20171212,6,31,35,7,4,43,3,5,2
1244,20171219,34,35,18,44,26,37,5,1,36
1245,20171226,7,30,37,2,41,9,45,33,23
1246,20180102,8,26,1,12,30,43,28,7,11
1247,20180109,45,26,8,1,43,9,40,34,27
1248,20180116,9,37,26,23,30,7,4,38,5
1249,20180123,31,25,21,44,33,28,16,35,1
1250,20180130,24,12,45,5,40,31,2,30,16
1251,20180206,6,35,43,41,22,40,11,21,45
1252,20180213,42,26,3,37,40,2,35,36,32
1253,20180220,2,29,1,35,11,15,5,31,21
1254,20180227,33,2,29,31,16,39,25,42,36
1255,20180306,5,30,34,41,18,38,37,28,11
1256,20180313,18,23,5,29,35,25,39,15,21
1257,20180320,4,16,34,8,32,11,13,29,20
1258,20180327,29,19,38,22,3,5,27,41,35
1259,20180403,2,42,37,24,13,26,36,44,14
1260,20180410,31,25,3,23,17,40,15,16,26
1261,20180417,43,20,7,27,36,11,23,18,26
1262,20180424,7,45,39,4,16,27,29,40,24
1263,20180501,15,11,9,19,27,8,36,5,29
1264,20180508,41,45,27,31,29,9,43,16,6
1265,20180515,41,3,12,13,6,40,29,4,39
1266,20180522,2,13,39,45,19,12,31,24,41
1267,20180529,13,21,44,1,8,12,9,38,10
1268,20180605,11,30,45,18,33,37,23,6,3
1269,20180612,22,2,31,38,12,7,45,11,29
1270,20180619,20,18,26,35,10,22,16,25,34
1271,20180626,14,36,32,11,10,34,22,30,2
1272,20180703,27,23,18,10,4,9,16,41,35
1273,20180710,37,13,10,1,40,3,44,41,6
1274,20180717,19,17,38,20,28,11,42,27,35
1275,20180724,38,2,13,40,3,39,22,34,7
1276,20180731,7,26,25,40,10,13,1,38,31
1277,20180807,31,26,15,21,14,24,40,33,3
1278,20180814,5,11,28,24,38,37,25,1,27
1279,20180821,9,32,4,14,38,12,3,35,24
1280,20180828,21,13,1,2,23,19,34,11,33
1281,20180904,25,41,30,33,11,15,36,34,14
1282,20180911,6,4,36,23,2,30,32,11,27
1283,20180918,39,26,42,32,33,20,23,22,24
1284,20180925,29,17,33,39,21,20,24,31,8
1285,20181002,7,38,41,16,15,24,43,34,27
1286,20181009,4,45,32,41,26,30,25,9,44
1287,20181016,43,21,14,3,15,41,2,29,25
