draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2
727,20080122,19,21,15,22,26,39,45,18,37
728,20080129,33,20,7,32,39,2,30,9,13
729,20080205,12,25,29,2,4,5,10,39,15
730,20080212,29,3,41,21,28,13,5,38,42
731,20080219,33,19,11,3,23,21,24,42,29
732,20080226,5,11,16,25,17,6,44,7,15
733,20080304,33,32,16,13,6,4,15,7,24
734,20080311,36,2,23,37,19,35,5,43,21
735,20080318,15,45,39,7,11,25,38,32,26
736,20080325,17,26,28,25,33,42,24,44,40
737,20080401,3,15,18,40,28,13,14,42,12
738,20080408,5,9,38,30,14,16,13,39,12
739,20080415,33,34,30,14,24,12,6,35,32
740,20080422,33,17,19,27,35,28,34,36,10
741,20080429,11,6,16,2,23,13,40,15,3
742,20080506,40,29,22,17,18,7,8,43,11
743,20080513,27,24,16,25,32,17,13,20,5
744,20080520,11,27,31,30,3,1,4,10,23
745,20080527,25,28,16,26,10,8,14,33,44
746,20080603,33,39,16,17,7,3,28,43,10
747,20080610,40,7,15,34,35,29,14,3,38
748,20080617,10,34,7,27,35,25,40,42,8
749,20080624,9,45,39,31,30,14,16,41,22
750,20080701,38,24,43,35,14,20,28,21,8
751,20080708,35,4,22,18,31,30,10,3,45
752,20080715,28,5,4,1,12,44,15,2,38
753,20080722,40,33,5,44,16,17,3,31,7
754,20080729,37,20,18,8,35,11,31,21,42
755,20080805,11,44,29,34,17,33,45,40,7
756,20080812,27,42,25,7,45,30,19,13,24
757,20080819,17,9,42,5,10,43,25,11,4
758,20080826,23,27,43,25,37,45,13,44,18
759,20080902,15,39,28,25,17,10,31,19,30
760,20080909,28,41,36,31,15,39,42,8,9
761,20080916,3,1,24,22,26,44,19,45,41
762,20080923,1,37,43,45,34,19,9,25,28
763,20080930,42,36,12,1,6,29,15,26,10
764,20081007,8,10,15,17,39,40,14,11,22
765,20081014,17,2,6,26,11,22,45,24,20
766,20081021,11,21,1,27,43,45,13,23,35
767,20081028,20,27,12,2,37,16,11,29,5
768,20081104,29,5,23,34,35,21,42,13,4
769,20081111,43,12,5,34,19,15,2,32,3
770,20081118,5,30,2,19,37,11,28,14,13
771,20081125,14,5,19,27,29,30,35,20,37
772,20081202,18,36,7,40,30,9,12,11,39
773,20081209,1,17,7,24,26,12,34,33,13
774,20081216,18,2,40,30,20,31,27,11,35
775,20081223,28,5,39,31,45,33,35,32,9
